Stage,Round,Date,Team 1,FT,Team 2
Grunddurchgang,1,Fri Sep 11 2020,SK Rapid Wien,4-1,FC Admira Wacker Mödling
Grunddurchgang,1,Fri Sep 11 2020,LASK Linz,1-0,FK Austria Wien
Grunddurchgang,1,Sat Sep 12 2020,SCR Altach,1-1,TSV Hartberg
Grunddurchgang,1,Sun Sep 13 2020,SV Ried,3-2,WSG Tirol
Grunddurchgang,1,Sun Sep 13 2020,SKN St. Pölten,0-0,SK Sturm Graz
Grunddurchgang,1,Sun Sep 13 2020,Wolfsberger AC,1-3,FC RB Salzburg
Grunddurchgang,2,Sat Sep 19 2020,FC RB Salzburg,,SCR Altach
Grunddurchgang,2,Sat Sep 19 2020,WSG Tirol,,LASK Linz
Grunddurchgang,2,Sat Sep 19 2020,SK Sturm Graz,,SK Rapid Wien
Grunddurchgang,2,Sun Sep 20 2020,TSV Hartberg,,Wolfsberger AC
Grunddurchgang,2,Sun Sep 20 2020,FC Admira Wacker Mödling,,SKN St. Pölten
Grunddurchgang,2,Sun Sep 20 2020,FK Austria Wien,,SV Ried
Grunddurchgang,3,Sat Sep 26 2020,SCR Altach,,WSG Tirol
Grunddurchgang,3,Sat Sep 26 2020,SKN St. Pölten,,SK Rapid Wien
Grunddurchgang,3,Sat Sep 26 2020,SV Ried,,FC RB Salzburg
Grunddurchgang,3,Sun Sep 27 2020,FK Austria Wien,,FC Admira Wacker Mödling
Grunddurchgang,3,Sun Sep 27 2020,TSV Hartberg,,SK Sturm Graz
Grunddurchgang,3,Sun Sep 27 2020,LASK Linz,,Wolfsberger AC
Grunddurchgang,4,Sat Oct 3 2020,FC Admira Wacker Mödling,,SV Ried
Grunddurchgang,4,Sat Oct 3 2020,WSG Tirol,,FK Austria Wien
Grunddurchgang,4,Sat Oct 3 2020,Wolfsberger AC,,SKN St. Pölten
Grunddurchgang,4,Sun Oct 4 2020,SK Sturm Graz,,SCR Altach
Grunddurchgang,4,Sun Oct 4 2020,FC RB Salzburg,,TSV Hartberg
Grunddurchgang,4,Sun Oct 4 2020,SK Rapid Wien,,LASK Linz
Grunddurchgang,5,Sat Oct 24 2020,Wolfsberger AC,,SK Rapid Wien
Grunddurchgang,5,Sat Oct 24 2020,LASK Linz,,SKN St. Pölten
Grunddurchgang,5,Sat Oct 24 2020,FK Austria Wien,,FC RB Salzburg
Grunddurchgang,5,Sat Oct 24 2020,SCR Altach,,FC Admira Wacker Mödling
Grunddurchgang,5,Sat Oct 24 2020,WSG Tirol,,TSV Hartberg
Grunddurchgang,5,Sat Oct 24 2020,SV Ried,,SK Sturm Graz
Grunddurchgang,6,Sat Oct 31 2020,FC RB Salzburg,,WSG Tirol
Grunddurchgang,6,Sat Oct 31 2020,SK Rapid Wien,,SCR Altach
Grunddurchgang,6,Sat Oct 31 2020,TSV Hartberg,,FK Austria Wien
Grunddurchgang,6,Sat Oct 31 2020,SK Sturm Graz,,LASK Linz
Grunddurchgang,6,Sat Oct 31 2020,SKN St. Pölten,,SV Ried
Grunddurchgang,6,Sat Oct 31 2020,FC Admira Wacker Mödling,,Wolfsberger AC
Grunddurchgang,7,Sat Nov 7 2020,SK Rapid Wien,,FC RB Salzburg
Grunddurchgang,7,Sat Nov 7 2020,Wolfsberger AC,,SK Sturm Graz
Grunddurchgang,7,Sat Nov 7 2020,LASK Linz,,FC Admira Wacker Mödling
Grunddurchgang,7,Sat Nov 7 2020,SCR Altach,,FK Austria Wien
Grunddurchgang,7,Sat Nov 7 2020,SKN St. Pölten,,WSG Tirol
Grunddurchgang,7,Sat Nov 7 2020,SV Ried,,TSV Hartberg
Grunddurchgang,8,Sat Nov 21 2020,FC RB Salzburg,,SK Sturm Graz
Grunddurchgang,8,Sat Nov 21 2020,TSV Hartberg,,LASK Linz
Grunddurchgang,8,Sat Nov 21 2020,FK Austria Wien,,SKN St. Pölten
Grunddurchgang,8,Sat Nov 21 2020,SCR Altach,,Wolfsberger AC
Grunddurchgang,8,Sat Nov 21 2020,WSG Tirol,,FC Admira Wacker Mödling
Grunddurchgang,8,Sat Nov 21 2020,SV Ried,,SK Rapid Wien
Grunddurchgang,9,Sat Nov 28 2020,SK Rapid Wien,,FK Austria Wien
Grunddurchgang,9,Sat Nov 28 2020,Wolfsberger AC,,SV Ried
Grunddurchgang,9,Sat Nov 28 2020,LASK Linz,,SCR Altach
Grunddurchgang,9,Sat Nov 28 2020,SK Sturm Graz,,WSG Tirol
